Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Mung beans,Grains,0.027,105.0,19.0,0.0,0.38,7.6,0.048,0.266,7.0,0.002,2.0
Cellophane noodles,Grains,0.025,351.0,86.0,0.0,0.06,0.5,0.003,0.01,0.16,0.01,0.0
Black gram,Grains,0.053,105.0,18.0,0.0,0.55,6.4,0.063,0.231,7.5,0.007,2.0
Pigeon pea,Grains,0.043,121.0,23.0,0.0,0.38,6.7,0.046,0.384,6.8,0.005,0.0
Refried beans,Grains,0.029,90.0,14.0,0.0,2.0,3.7,0.035,0.319,5.0,0.37,0.54
Soybean,Grains,0.102,172.0,8.4,0.0,9.0,6.0,0.086,0.515,18.0,0.001,3.0
Nattō,Grains,0.217,211.0,13.0,0.0,11.0,5.4,0.115,0.729,19.0,0.007,4.9
Tempeh,Grains,0.111,192.0,7.6,0.0,11.0,0.0,0.081,0.412,20.0,0.009,0.0
Soybean meal,Grains,0.244,337.0,36.0,0.0,2.4,0.0,0.306,2.49,49.0,0.003,0.0
Okara,Grains,0.08,76.0,12.0,0.0,1.7,0.0,0.026,0.213,3.5,0.009,0.0
Winged beans,Grains,0.142,147.0,15.0,0.0,5.8,0.0,0.054,0.28,11.0,0.013,0.0
Falafel,Grains,0.054,333.0,32.0,0.0,18.0,0.0,0.082,0.585,13.0,0.294,0.0
Chickpea flour (besan),Grains,0.045,387.0,58.0,0.0,6.7,11.0,0.166,0.846,22.0,0.064,11.0
Hummus,Grains,0.038,166.0,14.0,0.0,9.6,6.0,0.071,0.228,7.9,0.379,0.0
Soy yogurt,Grains,0.132,66.0,9.7,0.0,1.8,0.4,0.0,0.0,2.6,0.013,5.3
Tofu,Grains,0.683,144.0,2.8,0.0,8.7,2.3,0.058,0.237,17.0,0.014,0.0
Wheat Bread,Grains,0.165,313.0,56.0,0.0,4.3,4.7,0.059,0.223,13.0,0.601,6.4
Amaranth grain,Grains,0.047,102.0,19.0,0.0,1.6,2.1,0.065,0.135,3.8,0.006,0.0
Groat,Grains,0.018,343.0,72.0,0.0,3.4,10.0,0.231,0.46,13.0,0.001,0.0
Buckwheat,Grains,0.007,92.0,20.0,0.0,0.62,2.7,0.051,0.088,3.4,0.004,0.9
Cornmeal,Grains,0.003,370.0,79.0,0.0,1.8,3.9,0.032,0.142,7.1,0.007,1.6
Couscous,Grains,0.008,112.0,23.0,0.0,0.16,1.4,0.008,0.058,3.8,0.005,0.1
Millet,Grains,0.003,119.0,24.0,0.0,1.0,1.3,0.044,0.062,3.5,0.002,0.13
Brown rice,Grains,0.003,123.0,26.0,0.0,0.97,1.6,0.039,0.086,2.7,0.004,0.24
Oat,Grains,0.054,389.0,66.0,0.0,6.9,11.0,0.177,0.429,17.0,0.002,0.0
